2024-12-15 13:19:19,221 	 INFO: Server has boot started 	 [in C:\Users\Eden\Desktop\finalProjDeploy\app.py:20]
2024-12-15 13:19:19,701 	 INFO: Server is ready 	 [in C:\Users\Eden\Desktop\finalProjDeploy\app.py:41]
2024-12-15 13:19:29,530 	 INFO: Server is ready 	 [in C:\Users\Eden\Desktop\finalProjDeploy\app.py:92]
2024-12-15 13:20:07,231 	 INFO: Server has boot started 	 [in C:\Users\Eden\Desktop\finalProjDeploy\app.py:20]
2024-12-15 13:20:07,404 	 INFO: Server is ready 	 [in C:\Users\Eden\Desktop\finalProjDeploy\app.py:41]
2024-12-15 13:20:30,208 	 INFO: Server is ready 	 [in C:\Users\Eden\Desktop\finalProjDeploy\app.py:92]
2024-12-15 13:21:19,296 	 INFO: Server has boot started 	 [in c:\Users\Eden\Desktop\finalProjDeploy\app.py:20]
2024-12-15 13:21:19,651 	 INFO: Server is ready 	 [in c:\Users\Eden\Desktop\finalProjDeploy\app.py:41]
2024-12-15 13:21:28,444 	 INFO: Server has boot started 	 [in C:\Users\Eden\Desktop\finalProjDeploy\app.py:20]
2024-12-15 13:21:28,695 	 INFO: Server is ready 	 [in C:\Users\Eden\Desktop\finalProjDeploy\app.py:41]
2024-12-15 13:22:18,018 	 INFO: Server is ready 	 [in C:\Users\Eden\Desktop\finalProjDeploy\app.py:92]
2024-12-15 13:25:45,460 	 INFO: Server has boot started 	 [in C:\Users\Eden\Desktop\finalProjDeploy\app.py:20]
2024-12-15 13:25:45,946 	 INFO: Server is ready 	 [in C:\Users\Eden\Desktop\finalProjDeploy\app.py:41]
2024-12-15 13:27:17,133 	 INFO: Server has boot started 	 [in C:\Users\Eden\Desktop\finalProjDeploy\app.py:20]
2024-12-15 13:27:17,353 	 INFO: Server is ready 	 [in C:\Users\Eden\Desktop\finalProjDeploy\app.py:41]
